canonical_symbol,tier,binance_1h_available,binance_15m_available,binance_4h_available,okx_trades_5m_available,okx_trades_15m_available,okx_trades_1h_available,okx_funding_available,joined_1h_available,joined_15m_available,blockers
ADAUSDT,A,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
APTUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
ARBUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
ATOMUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
AVAXUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
BCHUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
BNBUSDT,A,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
BTCUSDT,A,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
DOGEUSDT,A,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
DOTUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
ETHUSDT,A,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
FILUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
LINKUSDT,A,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
LTCUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
NEARUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
OPUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
SOLUSDT,A,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
SUIUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
UNIUSDT,B,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
XRPUSDT,A,True,False,True,True,True,True,True,True,False,BLOCKED_LOCAL_15M_MISSING
