factor_name,horizon,declared_direction,raw_mean_rank_ic,inverted_mean_rank_ic,raw_ic_ir,inverted_ic_ir,long_bucket_return,short_bucket_return,top_bottom_raw,top_bottom_direction_adjusted,top_bottom_net_after_cost,best_orientation,orientation_status,bug_status,turnover,n_timestamps,n_symbols,start_ts,end_ts
ret_1h_rank,1,long,-0.027785,0.027785,-0.0976,0.0976,1.795703,2.91573,-1.120026,-1.120026,-1.120026,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.7516,29924,20,2023-01-01 01:00:00+00:00,2026-05-31 22:00:00+00:00
ret_1h_rank,4,long,-0.021031,0.021031,-0.0744,0.0744,7.032004,8.100752,-1.068748,-1.068748,-1.068748,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.7516,29922,20,2023-01-01 01:00:00+00:00,2026-05-31 19:00:00+00:00
ret_1h_rank,12,long,-0.009708,0.009708,-0.0347,0.0347,20.242349,15.617603,4.624745,4.624745,4.624745,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.7516,29914,20,2023-01-01 01:00:00+00:00,2026-05-31 11:00:00+00:00
ret_1h_rank,24,long,-0.006216,0.006216,-0.0222,0.0222,40.976224,30.143143,10.833081,10.833081,10.833081,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.7516,29902,20,2023-01-01 01:00:00+00:00,2026-05-30 23:00:00+00:00
ret_4h_rank,1,long,-0.029099,0.029099,-0.1017,0.1017,2.560717,1.376096,1.184622,1.184622,1.184622,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.3888,29922,20,2023-01-01 04:00:00+00:00,2026-05-31 22:00:00+00:00
ret_4h_rank,4,long,-0.025569,0.025569,-0.0894,0.0894,8.333995,3.711541,4.622454,4.622454,4.622454,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.3888,29920,20,2023-01-01 04:00:00+00:00,2026-05-31 19:00:00+00:00
ret_4h_rank,12,long,-0.014866,0.014866,-0.052,0.052,21.182425,9.898044,11.284381,11.284381,11.284381,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.3888,29912,20,2023-01-01 04:00:00+00:00,2026-05-31 11:00:00+00:00
ret_4h_rank,24,long,-0.010873,0.010873,-0.0382,0.0382,41.595999,18.581746,23.014254,23.014254,23.014254,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.3888,29900,20,2023-01-01 04:00:00+00:00,2026-05-30 23:00:00+00:00
ret_12h_rank,1,long,-0.023362,0.023362,-0.0814,0.0814,3.286264,1.199574,2.08669,2.08669,2.08669,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.231,29914,20,2023-01-01 12:00:00+00:00,2026-05-31 22:00:00+00:00
ret_12h_rank,4,long,-0.024166,0.024166,-0.0842,0.0842,10.492069,2.504079,7.98799,7.98799,7.98799,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.231,29912,20,2023-01-01 12:00:00+00:00,2026-05-31 19:00:00+00:00
ret_12h_rank,12,long,-0.023617,0.023617,-0.0819,0.0819,25.649438,4.983198,20.666241,20.666241,20.666241,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.231,29904,20,2023-01-01 12:00:00+00:00,2026-05-31 11:00:00+00:00
ret_12h_rank,24,long,-0.022165,0.022165,-0.0772,0.0772,37.302747,16.692918,20.609829,20.609829,20.609829,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.231,29892,20,2023-01-01 12:00:00+00:00,2026-05-30 23:00:00+00:00
ret_24h_rank,1,long,-0.022961,0.022961,-0.0797,0.0797,2.14298,0.368296,1.774684,1.774684,1.774684,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.1661,29902,20,2023-01-02 00:00:00+00:00,2026-05-31 22:00:00+00:00
ret_24h_rank,4,long,-0.026445,0.026445,-0.091,0.091,8.338097,-1.649809,9.987906,9.987906,9.987906,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.1661,29900,20,2023-01-02 00:00:00+00:00,2026-05-31 19:00:00+00:00
ret_24h_rank,12,long,-0.028429,0.028429,-0.0982,0.0982,17.666367,3.314025,14.352342,14.352342,14.352342,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.1661,29892,20,2023-01-02 00:00:00+00:00,2026-05-31 11:00:00+00:00
ret_24h_rank,24,long,-0.029173,0.029173,-0.1008,0.1008,29.094411,20.857122,8.237289,8.237289,8.237289,inverted,MISALIGNED,long factor has negative raw IC — direction mismatch,0.1661,29880,20,2023-01-02 00:00:00+00:00,2026-05-30 23:00:00+00:00
reversal_1h_zscore,1,long,0.027785,-0.027785,0.0976,-0.0976,2.552722,1.913835,0.638887,0.638887,0.638887,raw,ALIGNED,CLEAN,0.7727,29924,20,2023-01-01 01:00:00+00:00,2026-05-31 22:00:00+00:00
reversal_1h_zscore,4,long,0.021031,-0.021031,0.0744,-0.0744,8.009674,7.205686,0.803987,0.803987,0.803987,raw,ALIGNED,CLEAN,0.7727,29922,20,2023-01-01 01:00:00+00:00,2026-05-31 19:00:00+00:00
reversal_1h_zscore,12,long,0.009708,-0.009708,0.0347,-0.0347,14.853676,20.572834,-5.719159,-5.719159,-5.719159,raw,ALIGNED,CLEAN,0.7727,29914,20,2023-01-01 01:00:00+00:00,2026-05-31 11:00:00+00:00
reversal_1h_zscore,24,long,0.006216,-0.006216,0.0222,-0.0222,28.538918,44.734259,-16.195341,-16.195341,-16.195341,raw,ALIGNED,CLEAN,0.7727,29902,20,2023-01-01 01:00:00+00:00,2026-05-30 23:00:00+00:00
reversal_4h_zscore,1,long,0.029099,-0.029099,0.1017,-0.1017,1.374769,2.783704,-1.408936,-1.408936,-1.408936,raw,ALIGNED,CLEAN,0.4145,29922,20,2023-01-01 04:00:00+00:00,2026-05-31 22:00:00+00:00
reversal_4h_zscore,4,long,0.025569,-0.025569,0.0894,-0.0894,3.965389,8.346435,-4.381047,-4.381047,-4.381047,raw,ALIGNED,CLEAN,0.4145,29920,20,2023-01-01 04:00:00+00:00,2026-05-31 19:00:00+00:00
reversal_4h_zscore,12,long,0.014866,-0.014866,0.052,-0.052,10.294658,22.419611,-12.124953,-12.124953,-12.124953,raw,ALIGNED,CLEAN,0.4145,29912,20,2023-01-01 04:00:00+00:00,2026-05-31 11:00:00+00:00
