rank,factor_name,horizon,direction,mean_rank_ic,median_rank_ic,ic_ir,top_bottom_gross_return,top_bottom_net_return,turnover,n_timestamps,n_symbols,start_ts,end_ts,pass_fail,notes
1,volume_zscore,24,long,-0.076705,-0.10303,-0.1692,-13.941711,-13.941711,0.0014,8726,10,2025-06-01 10:00:00+00:00,2026-05-30 23:00:00+00:00,WATCH,"weak signal, IC_IR=-0.17"
2,range_zscore,24,long,0.070806,0.090909,0.1599,11.008076,11.008076,0.0001,8732,10,2025-06-01 04:00:00+00:00,2026-05-30 23:00:00+00:00,WATCH,"moderate signal, IC_IR=0.16"
3,breakdown_n_low,12,short,0.059239,0.066667,0.1387,-3.117024,3.117024,0.2167,8738,10,2025-06-01 10:00:00+00:00,2026-05-31 11:00:00+00:00,WATCH,"weak signal, IC_IR=0.14"
4,btc_downtrend_breakdown_short,12,short,-0.059239,-0.066667,-0.1387,4.439256,-4.439256,0.2471,8738,10,2025-06-01 10:00:00+00:00,2026-05-31 11:00:00+00:00,WATCH,"weak signal, IC_IR=-0.14"
5,breakdown_n_low,24,short,0.057562,0.066667,0.1365,-3.348098,3.348098,0.2167,8726,10,2025-06-01 10:00:00+00:00,2026-05-30 23:00:00+00:00,WATCH,"weak signal, IC_IR=0.14"
6,btc_downtrend_breakdown_short,24,short,-0.057562,-0.066667,-0.1365,1.913014,-1.913014,0.2471,8726,10,2025-06-01 10:00:00+00:00,2026-05-30 23:00:00+00:00,WATCH,"weak signal, IC_IR=-0.14"
7,volume_zscore,12,long,-0.055833,-0.078788,-0.1236,-6.89739,-6.89739,0.0014,8738,10,2025-06-01 10:00:00+00:00,2026-05-31 11:00:00+00:00,WATCH,"weak signal, IC_IR=-0.12"
8,breakdown_n_low,4,short,0.055025,0.054545,0.1325,-2.09196,2.09196,0.2167,8746,10,2025-06-01 10:00:00+00:00,2026-05-31 19:00:00+00:00,WATCH,"weak signal, IC_IR=0.13"
9,btc_downtrend_breakdown_short,4,short,-0.055025,-0.054545,-0.1325,3.011594,-3.011594,0.2471,8746,10,2025-06-01 10:00:00+00:00,2026-05-31 19:00:00+00:00,WATCH,"weak signal, IC_IR=-0.13"
10,range_zscore,12,long,0.051761,0.066667,0.1179,5.094383,5.094383,0.0001,8744,10,2025-06-01 04:00:00+00:00,2026-05-31 11:00:00+00:00,WATCH,"weak signal, IC_IR=0.12"
11,breakout_n_high,24,long,-0.042149,-0.054545,-0.101,-12.398701,-12.398701,0.1945,8726,10,2025-06-01 10:00:00+00:00,2026-05-30 23:00:00+00:00,WATCH,"weak signal, IC_IR=-0.10"
12,ret_12h_rank,4,long,-0.040455,-0.042424,-0.101,-2.309032,-2.309032,0.2613,8745,10,2025-06-01 11:00:00+00:00,2026-05-31 19:00:00+00:00,WATCH,"weak signal, IC_IR=-0.10"
13,ret_12h_rank,12,long,-0.040205,-0.042424,-0.0981,-2.884771,-2.884771,0.2613,8737,10,2025-06-01 11:00:00+00:00,2026-05-31 11:00:00+00:00,WATCH,"weak signal, IC_IR=-0.10"
14,breakdown_n_low,1,short,0.039739,0.042424,0.0958,-1.033569,1.033569,0.2167,8749,10,2025-06-01 10:00:00+00:00,2026-05-31 22:00:00+00:00,WATCH,"weak signal, IC_IR=0.10"
15,btc_downtrend_breakdown_short,1,short,-0.039739,-0.042424,-0.0958,1.004801,-1.004801,0.2471,8749,10,2025-06-01 10:00:00+00:00,2026-05-31 22:00:00+00:00,WATCH,"weak signal, IC_IR=-0.10"
