rank,alpha_name,config_name,side_mode,trades,avg_R,median_R,total_R,expectancy_R,profit_factor,win_rate,max_drawdown_R,fee_drag_R,avg_hold_bars,turnover,best_symbol,worst_symbol,dominant_symbol_share,start_ts,end_ts,pass_fail,notes
1,range_zscore,SWING_PROXY_1H,long,27491,-0.129277,-0.218325,-3553.9604,-0.129277,0.7364,0.4287,-3552.6817,4796.465565,8.66,,RUNEUSDT,BTCUSDT,0.1785,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-3553.96)
2,volume_zscore,SWING_PROXY_1H,long,27564,-0.14495,-0.248091,-3995.3916,-0.14495,0.71,0.4184,-3996.9624,4824.93324,8.66,,SOLUSDT,BTCUSDT,0.1631,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-3995.39)
3,ret_24h_rank,SWING_PROXY_1H,long,40560,-0.109225,-0.217271,-4430.1585,-0.109225,0.7719,0.4294,-4434.6217,7128.426483,8.72,,MATICUSDT,BTCUSDT,0.1046,2023-01-02 00:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-4430.16)
4,trend_pullback_ema,SWING_PROXY_1H,long,41465,-0.111242,-0.232597,-4612.6305,-0.111242,0.7695,0.4252,-4612.9107,7341.875512,8.71,,MATICUSDT,BTCUSDT,0.0982,2023-01-01 23:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-4612.63)
5,ret_12h_rank,SWING_PROXY_1H,long,44512,-0.114487,-0.214236,-5096.0599,-0.114487,0.7609,0.4283,-5095.8471,7774.961702,8.75,,MATICUSDT,BTCUSDT,0.0958,2023-01-01 16:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-5096.06)
6,breakout_n_high,SWING_PROXY_1H,long,43749,-0.122068,-0.226001,-5340.3376,-0.122068,0.7492,0.4275,-5343.1652,7872.705314,8.67,,SOLUSDT,BTCUSDT,0.1076,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-5340.34)
7,ret_4h_rank,SWING_PROXY_1H,long,50502,-0.108348,-0.210835,-5471.7949,-0.108348,0.7735,0.4295,-5473.484,8840.008046,8.75,,RUNEUSDT,BTCUSDT,0.1187,2023-01-01 17:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-5471.79)
8,breakdown_n_low,SWING_PROXY_1H,short,43500,-0.128103,-0.218258,-5572.4612,-0.128103,0.7381,0.4321,-5572.3185,7699.181277,8.66,,MATICUSDT,BTCUSDT,0.1022,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-5572.46)
9,ret_1h_rank,SWING_PROXY_1H,long,53822,-0.111052,-0.215031,-5977.0507,-0.111052,0.7687,0.4295,-5975.8312,9392.547667,8.75,,MATICUSDT,BTCUSDT,0.1095,2023-01-01 16:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-5977.05)
10,reversal_4h_zscore,SWING_PROXY_1H,long,50765,-0.117763,-0.216606,-5978.2549,-0.117763,0.7559,0.4314,-5983.5406,8845.745083,8.72,,MATICUSDT,RUNEUSDT,0.0791,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-5978.25)
11,reversal_1h_zscore,SWING_PROXY_1H,long,53993,-0.118413,-0.2213,-6393.4624,-0.118413,0.755,0.4299,-6395.0619,9430.42554,8.73,,APTUSDT,RUNEUSDT,0.0755,2023-01-01 16:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-6393.46)
