symbol,timeframe,source_path,row_count,start_timestamp,end_timestamp,days_covered,missing_timestamp_count,duplicate_timestamp_count,has_ohlcv,has_spread_proxy,has_cost_proxy,has_regime_label,usable_for_scalp,usable_for_swing,verdict,notes,columns,size_mb,has_derivatives,issues
AAVEUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/AAVEUSDT/AAVEUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.96,False,NONE
ADAUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ADAUSDT/ADAUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.87,False,NONE
ADAUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ADAUSDT/ADAUSDT_1h_with_derivatives.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.9,True,NONE
ALGOUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ALGOUSDT/ALGOUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.89,False,NONE
APEUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/APEUSDT/APEUSDT_1h.parquet,37593,2022-03-17 15:00:00+00:00,2026-06-30 23:00:00+00:00,1566,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.94,False,NONE
APTUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/APTUSDT/APTUSDT_1h.parquet,32422,2022-10-19 02:00:00+00:00,2026-06-30 23:00:00+00:00,1350,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.86,False,NONE
APTUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/APTUSDT/APTUSDT_1h_with_derivatives.parquet,32422,2022-10-19 02:00:00+00:00,2026-06-30 23:00:00+00:00,1350,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.86,True,NONE
ARBUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ARBUSDT/ARBUSDT_1h.parquet,28689,2023-03-23 15:00:00+00:00,2026-06-30 23:00:00+00:00,1195,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.7,False,NONE
ARBUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ARBUSDT/ARBUSDT_1h_with_derivatives.parquet,28689,2023-03-23 15:00:00+00:00,2026-06-30 23:00:00+00:00,1195,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.7,True,NONE
ATOMUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ATOMUSDT/ATOMUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.02,False,NONE
