symbol,filename,timeframe,row_count,has_ohlcv,duplicate_timestamp_count,timestamp_ordered,missing_candle_count,zero_negative_ohlcv_count,high_lt_low_count,extreme_return_count,zero_volume_count,usable_for_scalp,usable_for_swing,verdict,issues,status
AAVEUSDT,AAVEUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ADAUSDT,ADAUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ADAUSDT,ADAUSDT_1h_with_derivatives.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ALGOUSDT,ALGOUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
APEUSDT,APEUSDT_1h.parquet,1h,37593,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
APTUSDT,APTUSDT_1h.parquet,1h,32422,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
APTUSDT,APTUSDT_1h_with_derivatives.parquet,1h,32422,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ARBUSDT,ARBUSDT_1h.parquet,1h,28689,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ARBUSDT,ARBUSDT_1h_with_derivatives.parquet,1h,28689,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ATOMUSDT,ATOMUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ATOMUSDT,ATOMUSDT_1h_with_derivatives.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
AVAXUSDT,AVAXUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
AVAXUSDT,AVAXUSDT_1h_with_derivatives.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
AXSUSDT,AXSUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BCHUSDT,BCHUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BCHUSDT,BCHUSDT_1h_with_derivatives.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BNBUSDT,BNBUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BNBUSDT,BNBUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BNBUSDT,BNBUSDT_1h_combined.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BNBUSDT,BNBUSDT_1h_combined.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BNBUSDT,BNBUSDT_1h_with_derivatives.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BNBUSDT,BNBUSDT_1h_with_derivatives.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BTCUSDT,BTCUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BTCUSDT,BTCUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BTCUSDT,BTCUSDT_1h_combined.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BTCUSDT,BTCUSDT_1h_combined.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BTCUSDT,BTCUSDT_1h_with_derivatives.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
BTCUSDT,BTCUSDT_1h_with_derivatives.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
COMPUSDT,COMPUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
CRVUSDT,CRVUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
DOGEUSDT,DOGEUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
DOGEUSDT,DOGEUSDT_1h_with_derivatives.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
DOTUSDT,DOTUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
DOTUSDT,DOTUSDT_1h_with_derivatives.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
EOSUSDT,EOSUSDT_1h.parquet,1h,29674,True,0,YES,0,0,0,0,2,YES,YES,QUALITY_PASS,NONE,AUDITED
ETCUSDT,ETCUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ETHUSDT,ETHUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ETHUSDT,ETHUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ETHUSDT,ETHUSDT_1h_combined.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ETHUSDT,ETHUSDT_1h_combined.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ETHUSDT,ETHUSDT_1h_with_derivatives.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
ETHUSDT,ETHUSDT_1h_with_derivatives.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
FILUSDT,FILUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
FILUSDT,FILUSDT_1h_with_derivatives.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
FTMUSDT,FTMUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,12975,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2;ZERO_VOLUME=12975,AUDITED
GALAUSDT,GALAUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
GRTUSDT,GRTUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
HBARUSDT,HBARUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
ICPUSDT,ICPUSDT_1h.parquet,1h,38776,True,0,YES,6,0,0,0,1983,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=6;ZERO_VOLUME=1983,AUDITED
IMXUSDT,IMXUSDT_1h.parquet,1h,38300,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
INJUSDT,INJUSDT_1h.parquet,1h,33934,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
KAVAUSDT,KAVAUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
KSMUSDT,KSMUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
LDOUSDT,LDOUSDT_1h.parquet,1h,33060,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
LINKUSDT,LINKUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
LINKUSDT,LINKUSDT_1h_with_derivatives.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
LTCUSDT,LTCUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
LTCUSDT,LTCUSDT_1h_with_derivatives.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
MANAUSDT,MANAUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
MKRUSDT,MKRUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,7096,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2;ZERO_VOLUME=7096,AUDITED
NEARUSDT,NEARUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
OPUSDT,OPUSDT_1h.parquet,1h,35770,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
OPUSDT,OPUSDT_1h_with_derivatives.parquet,1h,35770,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
QNTUSDT,QNTUSDT_1h.parquet,1h,32398,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
RUNEUSDT,RUNEUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
SANDUSDT,SANDUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
SNXUSDT,SNXUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
SOLUSDT,SOLUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
SOLUSDT,SOLUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
SOLUSDT,SOLUSDT_1h_combined.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
SOLUSDT,SOLUSDT_1h_combined.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
SOLUSDT,SOLUSDT_1h_with_derivatives.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
SOLUSDT,SOLUSDT_1h_with_derivatives.parquet,1h,30648,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
STXUSDT,STXUSDT_1h.parquet,1h,29410,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
SUIUSDT,SUIUSDT_1h.parquet,1h,27704,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
SUIUSDT,SUIUSDT_1h_with_derivatives.parquet,1h,27704,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
THETAUSDT,THETAUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
TIAUSDT,TIAUSDT_1h.parquet,1h,23358,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
TRXUSDT,TRXUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
UNIUSDT,UNIUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,1,1,YES,YES,QUALITY_PASS,NONE,AUDITED
UNIUSDT,UNIUSDT_1h_with_derivatives.parquet,1h,39408,True,0,YES,0,0,0,1,1,YES,YES,QUALITY_PASS,NONE,AUDITED
VETUSDT,VETUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
WIFUSDT,WIFUSDT_1h.parquet,1h,21466,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
XLMUSDT,XLMUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
XMRUSDT,XMRUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
XRPUSDT,XRPUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
XRPUSDT,XRPUSDT_1h_with_derivatives.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
YFIUSDT,YFIUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
ZECUSDT,ZECUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
ZILUSDT,ZILUSDT_1h.parquet,1h,39287,True,0,YES,2,0,0,0,1,YES,YES,QUALITY_WARN_MINOR_GAPS,MISSING_CANDLES=2,AUDITED
ZRXUSDT,ZRXUSDT_1h.parquet,1h,39408,True,0,YES,0,0,0,0,1,YES,YES,QUALITY_PASS,NONE,AUDITED
