symbol,cluster_primary,cluster_secondary,priority,available_in_current_cache,available_timeframes,start_date,end_date,row_count_total,liquidity_tier,expected_cost_tier,has_derivatives,notes
AAVEUSDT,DEFI,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,39408,MEDIUM,MEDIUM,False,derivatives=False;cluster=DEFI
ADAUSDT,HIGH_BETA_L1,,P0_CORE,YES,1h,2022-01-01,2026-06-30,78816,HIGH,MEDIUM,True,derivatives=True;cluster=HIGH_BETA_L1
ALGOUSDT,INFRA_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,39408,MEDIUM,MEDIUM,False,derivatives=False;cluster=INFRA_MID
APEUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-03-17,2026-06-30,37593,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
APTUSDT,DERIVATIVES_RICH,,P0_CORE,YES,1h,2022-10-19,2026-06-30,64844,HIGH,LOW,True,derivatives=True;cluster=DERIVATIVES_RICH
ARBUSDT,HIGH_BETA_L1,,P0_CORE,YES,1h,2023-03-23,2026-06-30,57378,HIGH,MEDIUM,True,derivatives=True;cluster=HIGH_BETA_L1
ATOMUSDT,INFRA_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,78816,MEDIUM,MEDIUM,True,derivatives=True;cluster=INFRA_MID
AVAXUSDT,HIGH_BETA_L1,VOLATILE_ALT,P0_CORE,YES,1h,2022-01-01,2026-06-30,78816,HIGH,MEDIUM,True,derivatives=True;cluster=HIGH_BETA_L1
AXSUSDT,GAMING_METAVERSE,,P2_OPTIONAL,YES,1h,2022-01-01,2026-06-30,39408,LOW,HIGH,False,derivatives=False;cluster=GAMING_METAVERSE
BCHUSDT,OLD_ALT_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,78816,HIGH,LOW,True,derivatives=True;cluster=OLD_ALT_MID
