trade_id,alpha_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,atr,stop_price,target_price,initial_risk,gross_R,fee_R,slippage_R,funding_R,net_R,hold_bars,confidence,model_score,path_quality
1,discovery_pipeline_v6,BNBUSDT,LONG,1733436000000000000,,715.65,700.2428571428571,STOP_HIT,10.27142857142856,700.2428571428571,736.1928571428571,15.40714285714284,-1.0,0.037159,0.009423,0.0,-1.046583,1,0.5532259345054626,0.5532259345054626,0.0
2,discovery_pipeline_v6,ETHUSDT,LONG,1723723200000000000,,2640.56,2606.519642857143,STOP_HIT,22.693571428571335,2606.519642857143,2685.947142857143,34.040357142857005,-1.0,0.062057,0.015648,0.0,-1.077705,6,0.5617315769195557,0.5617315769195557,0.85
3,discovery_pipeline_v6,SOLUSDT,LONG,1707098400000000000,,95.161,96.96942857142858,TARGET_HIT,0.9042142857142872,93.80467857142857,96.96942857142858,1.3563214285714307,1.333333,0.056129,0.014166,0.0,1.263039,6,0.550779402256012,0.550779402256012,0.85
4,discovery_pipeline_v6,SOLUSDT,LONG,1707109200000000000,,96.116,98.03557142857143,TARGET_HIT,0.9597857142857151,94.67632142857143,98.03557142857143,1.4396785714285727,1.333333,0.05341,0.013486,0.0,1.266438,6,0.550822913646698,0.550822913646698,0.85
5,discovery_pipeline_v6,SOLUSDT,LONG,1707145200000000000,,95.557,97.6047142857143,TARGET_HIT,1.023857142857143,94.0212142857143,97.6047142857143,1.5357857142857145,1.333333,0.049776,0.012577,0.0,1.27098,1,0.5609109997749329,0.5609109997749329,0.0
6,discovery_pipeline_v6,SOLUSDT,LONG,1707159600000000000,,95.906,94.39378571428573,STOP_HIT,1.0081428571428563,94.39378571428573,97.92228571428572,1.5122142857142844,-1.0,0.050737,0.012818,0.0,-1.063554,4,0.5513777136802673,0.5513777136802673,0.4
7,discovery_pipeline_v6,SOLUSDT,LONG,1707350400000000000,,101.976,101.205,TIME_EXIT,1.096500000000002,100.33125,104.169,1.644750000000003,-0.468764,0.049601,0.012534,0.0,-0.530898,12,0.5687036514282227,0.5687036514282227,0.2
8,discovery_pipeline_v6,SOLUSDT,LONG,1707361200000000000,,101.767,104.12414285714286,TARGET_HIT,1.1785714285714306,99.99914285714286,104.12414285714286,1.767857142857146,1.333333,0.046052,0.011646,0.0,1.275635,12,0.5784043073654175,0.5784043073654175,0.6
9,discovery_pipeline_v6,SOLUSDT,LONG,1707372000000000000,,100.735,102.87057142857144,TARGET_HIT,1.0677857142857161,99.13332142857142,102.87057142857144,1.6016785714285742,1.333333,0.050315,0.012712,0.0,1.270307,8,0.5843092203140259,0.5843092203140259,0.85
10,discovery_pipeline_v6,SOLUSDT,LONG,1707415200000000000,,102.655,105.17471428571429,TARGET_HIT,1.2598571428571421,100.7652142857143,105.17471428571429,1.889785714285713,1.333333,0.043457,0.010998,0.0,1.278879,9,0.5590059161186218,0.5590059161186218,0.6
11,discovery_pipeline_v6,SOLUSDT,LONG,1707426000000000000,,102.654,105.25214285714286,TARGET_HIT,1.2990714285714273,100.70539285714285,105.25214285714286,1.948607142857141,1.333333,0.042145,0.010669,0.0,1.280519,6,0.5732188820838928,0.5732188820838928,0.85
12,discovery_pipeline_v6,SOLUSDT,LONG,1707444000000000000,,105.608,105.89,TIME_EXIT,1.3334285714285699,103.60785714285714,108.27485714285714,2.000142857142855,0.14099,0.04224,0.010693,0.0,0.088056,12,0.5521571040153503,0.5521571040153503,0.4
13,discovery_pipeline_v6,SOLUSDT,LONG,1707487200000000000,,104.9,107.59585714285714,TARGET_HIT,1.3479285714285691,102.87810714285715,107.59585714285714,2.021892857142854,1.333333,0.041506,0.01051,0.0,1.281318,8,0.5619440674781799,0.5619440674781799,0.6
