trade_id,symbol,direction,entry_time,entry_price,exit_price,exit_reason,net_R,gross_R,fee_R,slippage_R,hold_bars,confidence
1,SOLUSDT,SHORT,1707472800000000000,105.457,107.06285714285714,STOP_HIT,-1.065804,-1.0,0.052536,0.013267,12,0.567915
2,SOLUSDT,SHORT,1707552000000000000,108.213,109.148,TIME_EXIT,-0.488284,-0.437515,0.040509,0.010261,12,0.558843
3,SOLUSDT,SHORT,1707606000000000000,108.976,109.34,TIME_EXIT,-0.275057,-0.21158,0.050675,0.012802,12,0.561803
4,SOLUSDT,SHORT,1707652800000000000,109.613,107.50842857142857,TARGET_HIT,1.263756,1.333333,0.055556,0.014022,9,0.562228
5,SOLUSDT,SHORT,1707688800000000000,107.514,109.01410714285714,STOP_HIT,-1.071804,-1.0,0.057337,0.014468,3,0.555275
6,SOLUSDT,SHORT,1707728400000000000,104.748,106.57039285714286,STOP_HIT,-1.057612,-1.0,0.045983,0.011629,6,0.556443
7,SOLUSDT,LONG,1707771600000000000,110.288,113.35157142857142,TARGET_HIT,1.2852,1.333333,0.0384,0.009733,4,0.563143
8,SOLUSDT,SHORT,1707822000000000000,114.185,111.50657142857143,TARGET_HIT,1.276358,1.333333,0.045473,0.011502,3,0.595155
9,SOLUSDT,SHORT,1707858000000000000,113.006,114.833,TIME_EXIT,-0.682633,-0.642744,0.031805,0.008085,12,0.574114
10,SOLUSDT,SHORT,1707951600000000000,117.092,116.713,TIME_EXIT,0.129211,0.18717,0.046261,0.011699,12,0.551691
11,SOLUSDT,SHORT,1707987600000000000,116.396,114.14485714285715,TARGET_HIT,1.26426,1.333333,0.055152,0.013921,7,0.578265
12,SOLUSDT,SHORT,1708034400000000000,112.094,111.265,TIME_EXIT,0.294812,0.341062,0.036894,0.009357,12,0.55006
13,SOLUSDT,SHORT,1708074000000000000,111.265,108.60385714285714,TARGET_HIT,1.277452,1.333333,0.044598,0.011283,7,0.559599
14,SOLUSDT,LONG,1708131600000000000,109.893,109.063,TIME_EXIT,-0.44007,-0.388499,0.04115,0.010421,12,0.578451
15,SOLUSDT,LONG,1708167600000000000,109.465,107.97517857142857,STOP_HIT,-1.073609,-1.0,0.05878,0.014828,3,0.551903
16,SOLUSDT,LONG,1708207200000000000,109.326,107.71907142857143,STOP_HIT,-1.068167,-1.0,0.054427,0.01374,5,0.571349
17,SOLUSDT,LONG,1708243200000000000,109.401,111.4222857142857,TARGET_HIT,1.261034,1.333333,0.057733,0.014567,3,0.566267
18,SOLUSDT,SHORT,1708297200000000000,112.345,112.008,TIME_EXIT,0.11618,0.174479,0.046533,0.011766,12,0.560602
19,SOLUSDT,SHORT,1708333200000000000,111.943,113.67699999999999,STOP_HIT,-1.064691,-1.0,0.051646,0.013045,5,0.621652
20,SOLUSDT,SHORT,1708369200000000000,112.032,109.10685714285714,TARGET_HIT,1.282134,1.333333,0.040853,0.010347,7,0.556548
21,SOLUSDT,SHORT,1708405200000000000,110.882,108.44285714285715,TARGET_HIT,1.272587,1.333333,0.04849,0.012256,5,0.580553
22,SOLUSDT,SHORT,1708441200000000000,106.648,103.09471428571428,TARGET_HIT,1.293181,1.333333,0.032015,0.008137,1,0.55584
23,SOLUSDT,LONG,1708491600000000000,106.483,104.60510714285715,STOP_HIT,-1.056837,-1.0,0.045363,0.011474,3,0.626691
24,SOLUSDT,LONG,1708549200000000000,104.653,101.71760714285715,STOP_HIT,-1.035785,-1.0,0.028522,0.007264,1,0.578311
25,SOLUSDT,LONG,1708585200000000000,105.16,104.787,TIME_EXIT,-0.211222,-0.164664,0.037139,0.009418,12,0.562693
26,SOLUSDT,LONG,1708768800000000000,102.353,104.65828571428571,TARGET_HIT,1.274001,1.333333,0.047359,0.011973,12,0.554588
27,SOLUSDT,SHORT,1708826400000000000,103.433,102.713,TIME_EXIT,0.502191,0.586592,0.067414,0.016987,12,0.601813
28,SOLUSDT,SHORT,1708862400000000000,103.095,104.29210714285715,STOP_HIT,-1.086253,-1.0,0.068896,0.017357,9,0.585324
29,SOLUSDT,SHORT,1708909200000000000,103.538,105.01239285714286,STOP_HIT,-1.070357,-1.0,0.056179,0.014178,1,0.572512
30,SOLUSDT,SHORT,1708945200000000000,101.054,102.79035714285715,STOP_HIT,-1.058332,-1.0,0.046559,0.011773,4,0.593697
31,SOLUSDT,SHORT,1709013600000000000,111.369,107.94371428571428,TARGET_HIT,1.289848,1.333333,0.034681,0.008804,10,0.59936
32,SOLUSDT,SHORT,1709049600000000000,106.983,107.669,TIME_EXIT,-0.308914,-0.267123,0.033327,0.008465,12,0.569261
33,SOLUSDT,SHORT,1709092800000000000,108.85,110.89824999999999,STOP_HIT,-1.053276,-1.0,0.042514,0.010762,5,0.552606
34,SOLUSDT,SHORT,1709226000000000000,128.915,134.85339285714284,STOP_HIT,-1.021842,-1.0,0.017367,0.004475,9,0.56452
35,SOLUSDT,SHORT,1709262000000000000,134.114,133.095,TIME_EXIT,0.133004,0.153316,0.016143,0.004169,12,0.562006
36,SOLUSDT,SHORT,1709298000000000000,135.112,130.586,TIME_EXIT,0.891178,0.918738,0.021941,0.005619,12,0.586089
37,SOLUSDT,SHORT,1709334000000000000,129.456,128.396,TIME_EXIT,0.24552,0.279828,0.02734,0.006968,12,0.613274
38,SOLUSDT,SHORT,1709370000000000000,128.688,129.373,TIME_EXIT,-0.254119,-0.213817,0.032135,0.008167,12,0.635745
39,SOLUSDT,SHORT,1709463600000000000,128.85,132.19221428571427,STOP_HIT,-1.038686,-1.0,0.030842,0.007844,12,0.552769
40,SOLUSDT,SHORT,1709521200000000000,129.121,131.68214285714285,STOP_HIT,-1.050549,-1.0,0.040332,0.010216,6,0.601863
41,SOLUSDT,SHORT,1709593200000000000,133.45,128.319,TARGET_HIT,1.298522,1.333333,0.027742,0.007069,7,0.557143
42,SOLUSDT,SHORT,1709629200000000000,130.325,133.83864285714284,STOP_HIT,-1.037224,-1.0,0.029673,0.007552,6,0.575726
43,SOLUSDT,SHORT,1709665200000000000,119.417,128.18224999999998,STOP_HIT,-1.013757,-1.0,0.010899,0.002858,1,0.562585
44,SOLUSDT,LONG,1709726400000000000,128.304,130.916,TIME_EXIT,0.474191,0.498827,0.019602,0.005034,12,0.555215
45,SOLUSDT,SHORT,1709852400000000000,143.997,146.314,TIME_EXIT,-0.517332,-0.486936,0.02421,0.006186,12,0.558712
46,SOLUSDT,SHORT,1709888400000000000,145.418,148.5914642857143,STOP_HIT,-1.045956,-1.0,0.036658,0.009298,3,0.577409
47,SOLUSDT,SHORT,1709928000000000000,146.665,148.457,TIME_EXIT,-0.368051,-0.340084,0.022267,0.0057,12,0.576583
48,SOLUSDT,SHORT,1709964000000000000,148.93,144.40528571428572,TARGET_HIT,1.289314,1.333333,0.035109,0.008911,12,0.589069
49,SOLUSDT,SHORT,1710028800000000000,145.885,148.11624999999998,STOP_HIT,-1.065516,-1.0,0.052306,0.01321,3,0.571086
50,SOLUSDT,SHORT,1710108000000000000,141.921,137.88057142857141,TARGET_HIT,1.286366,1.333333,0.037467,0.0095,3,0.561014
51,SOLUSDT,LONG,1710144000000000000,149.371,146.853,TIME_EXIT,-0.589333,-0.556205,0.026396,0.006732,12,0.580052
52,SOLUSDT,LONG,1710180000000000000,147.555,152.7227142857143,TARGET_HIT,1.295129,1.333333,0.030457,0.007748,10,0.561302
53,SOLUSDT,SHORT,1710244800000000000,151.516,145.30771428571427,TARGET_HIT,1.300659,1.333333,0.026032,0.006641,6,0.565373
54,SOLUSDT,SHORT,1710280800000000000,148.512,153.29132142857142,STOP_HIT,-1.031207,-1.0,0.024859,0.006348,8,0.604683
55,SOLUSDT,SHORT,1710403200000000000,169.266,173.91139285714286,STOP_HIT,-1.036571,-1.0,0.02915,0.007421,2,0.571179
56,SOLUSDT,SHORT,1710439200000000000,165.271,172.0730714285714,STOP_HIT,-1.02443,-1.0,0.019438,0.004993,5,0.590912
57,SOLUSDT,SHORT,1710489600000000000,167.428,178.20110714285715,STOP_HIT,-1.015675,-1.0,0.012433,0.003242,6,0.58558
58,SOLUSDT,SHORT,1710594000000000000,188.988,195.87064285714285,STOP_HIT,-1.027592,-1.0,0.021967,0.005625,3,0.628991
59,SOLUSDT,SHORT,1710630000000000000,182.184,192.43714285714285,STOP_HIT,-1.017902,-1.0,0.014215,0.003687,12,0.632
60,SOLUSDT,SHORT,1710745200000000000,203.337,209.47714285714284,STOP_HIT,-1.033249,-1.0,0.026493,0.006757,4,0.562062
61,SOLUSDT,SHORT,1710781200000000000,197.788,187.80757142857144,TARGET_HIT,1.306777,1.333333,0.021139,0.005418,9,0.640857
62,SOLUSDT,SHORT,1710817200000000000,184.372,173.22528571428572,TARGET_HIT,1.311146,1.333333,0.017643,0.004544,7,0.575838
63,SOLUSDT,SHORT,1710853200000000000,181.846,167.85514285714285,TARGET_HIT,1.31587,1.333333,0.013864,0.003599,10,0.599993
64,SOLUSDT,LONG,1710921600000000000,171.168,182.28314285714285,TARGET_HIT,1.312667,1.333333,0.016426,0.00424,11,0.600302
65,SOLUSDT,LONG,1710957600000000000,184.015,175.72964285714284,STOP_HIT,-1.022343,-1.0,0.017768,0.004575,1,0.60569
66,SOLUSDT,LONG,1710993600000000000,188.702,185.431,TIME_EXIT,-0.414412,-0.391683,0.018077,0.004653,12,0.618241
67,SOLUSDT,SHORT,1711040400000000000,181.241,187.37932142857144,STOP_HIT,-1.029659,-1.0,0.023621,0.006039,1,0.566248
68,SOLUSDT,SHORT,1711076400000000000,179.216,171.01428571428573,TARGET_HIT,1.304065,1.333333,0.023308,0.00596,11,0.631801
69,SOLUSDT,SHORT,1711112400000000000,169.296,174.25799999999998,STOP_HIT,-1.034252,-1.0,0.027295,0.006957,11,0.576851
70,SOLUSDT,LONG,1711166400000000000,172.172,178.41671428571428,TARGET_HIT,1.296439,1.333333,0.029409,0.007486,11,0.585727
71,SOLUSDT,LONG,1711202400000000000,177.729,173.63935714285716,STOP_HIT,-1.043592,-1.0,0.034767,0.008825,7,0.568547
72,SOLUSDT,LONG,1711288800000000000,176.547,173.62907142857142,STOP_HIT,-1.060638,-1.0,0.048403,0.012234,4,0.571663
73,SOLUSDT,SHORT,1711400400000000000,189.733,193.97457142857144,STOP_HIT,-1.044865,-1.0,0.035785,0.00908,8,0.551084
